COUNTYGEOID,C01,C02,C03,C04,C05,label
06107,-0.12722098871358564,-0.22080916137620066,-0.042874147207000536,-0.20084865635852445,-0.31892489496284504,3
06109,-0.10534676995936858,-0.15639171257925236,-0.02480753807824786,-0.10054952979250764,-0.08969564293061427,3
06111,0.0048336325397265,-0.2072302489334115,0.6658504602593726,0.5665941892583933,0.13572167937665885,4
06113,-0.07617018822389765,-0.14006769919587,-0.08032640744502402,0.09448234265733686,-0.01851980319443633,3
06115,-0.07880609982962432,-0.11132891368754336,-0.011524853589667206,-0.05604569181776083,-0.0439074901707911,3
08001,-0.06308051497919454,-0.2236560803522629,0.08451212025309117,0.6868777978178088,0.11915609964749252,5
08003,-0.12639729789130566,-0.21265677421868845,-0.4169260425567363,0.7862911520137172,0.09677205198176424,5
08005,0.8357319842200559,0.24124009077391784,-0.1076367836019107,-0.059890532322299225,-0.021321293718604733,1
08007,-0.07880609982962432,-0.11132891368754336,-0.011524853589667202,-0.05604569181776084,-0.04390749017079111,3
08009,-0.07880609982962432,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.043907490170791104,3
08011,-0.07880609982962432,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.043907490170791104,3
08013,-0.04356111536621808,-0.1254266722881053,-0.07349881027733825,0.07065491768079356,-0.02237839262013162,3
08014,-0.10729337987105143,-0.1727021074652692,-0.025883326379788487,-0.1281486459715174,-0.14543669508260235,3
08015,-0.07880609982962432,-0.11132891368754333,-0.0115248535896672,-0.0560456918177608,-0.0439074901707911,3
